,date,action
0,2021-10-25 00:13:00+00:00,2
1,2021-10-25 00:14:00+00:00,1
2,2021-10-25 00:15:00+00:00,2
3,2021-10-25 00:16:00+00:00,1
4,2021-10-25 00:17:00+00:00,0
5,2021-10-25 00:18:00+00:00,0
6,2021-10-25 00:19:00+00:00,1
7,2021-10-25 00:20:00+00:00,0
8,2021-10-25 00:21:00+00:00,1
9,2021-10-25 00:22:00+00:00,1
10,2021-10-25 00:23:00+00:00,1
11,2021-10-25 00:24:00+00:00,0
12,2021-10-25 00:25:00+00:00,2
13,2021-10-25 00:26:00+00:00,1
14,2021-10-25 00:27:00+00:00,0
15,2021-10-25 00:28:00+00:00,0
16,2021-10-25 00:29:00+00:00,1
17,2021-10-25 00:30:00+00:00,0
18,2021-10-25 00:31:00+00:00,0
19,2021-10-25 00:32:00+00:00,1
20,2021-10-25 00:33:00+00:00,0
21,2021-10-25 00:34:00+00:00,0
22,2021-10-25 00:35:00+00:00,2
23,2021-10-25 00:36:00+00:00,2
24,2021-10-25 00:37:00+00:00,0
25,2021-10-25 00:38:00+00:00,1
26,2021-10-25 00:39:00+00:00,1
27,2021-10-25 00:40:00+00:00,2
28,2021-10-25 00:41:00+00:00,1
29,2021-10-25 00:42:00+00:00,1
30,2021-10-25 00:43:00+00:00,2
31,2021-10-25 00:44:00+00:00,0
32,2021-10-25 00:45:00+00:00,1
33,2021-10-25 00:46:00+00:00,2
34,2021-10-25 00:47:00+00:00,2
35,2021-10-25 00:48:00+00:00,1
36,2021-10-25 00:49:00+00:00,1
37,2021-10-25 00:50:00+00:00,1
38,2021-10-25 00:51:00+00:00,1
39,2021-10-25 00:52:00+00:00,0
40,2021-10-25 00:53:00+00:00,1
41,2021-10-25 00:54:00+00:00,2
42,2021-10-25 00:55:00+00:00,1
43,2021-10-25 00:56:00+00:00,2
44,2021-10-25 00:57:00+00:00,1
45,2021-10-25 00:58:00+00:00,1
46,2021-10-25 00:59:00+00:00,1
47,2021-10-25 01:00:00+00:00,0
48,2021-10-25 01:01:00+00:00,0
49,2021-10-25 01:02:00+00:00,1
50,2021-10-25 01:03:00+00:00,0
51,2021-10-25 01:04:00+00:00,1
52,2021-10-25 01:05:00+00:00,0
53,2021-10-25 01:06:00+00:00,0
54,2021-10-25 01:07:00+00:00,0
55,2021-10-25 01:08:00+00:00,2
56,2021-10-25 01:09:00+00:00,2
57,2021-10-25 01:10:00+00:00,0
58,2021-10-25 01:11:00+00:00,1
59,2021-10-25 01:12:00+00:00,0
60,2021-10-25 01:13:00+00:00,1
61,2021-10-25 01:14:00+00:00,1
